name,size_of_the_bottle,MRP_of_the_bottle,price_of_the_bottle,Product_url
Bhargava Garcinia Cambogia Drop,bottle of 30 ml Drop,385,339,https://www.1mg.com/otc/bhargava-garcinia-cambogia-drop-otc388385
SBL Justicia Adhatoda Mother Tincture Q,bottle of 30 ml Mother Tincture,105,92,https://www.1mg.com/otc/sbl-justicia-adhatoda-mother-tincture-q-otc338444
Allen A70 I.B.S.(Irritable Bowel Syndrome) Drop,bottle of 30 ml Drop,170,150,https://www.1mg.com/otc/allen-a70-i.b.s.-irritable-bowel-syndrome-drop-otc330218
Dr Willmar Schwabe India Tribulus Terrestris Mother Tincture Q,bottle of 30 ml Mother Tincture,110,97,https://www.1mg.com/otc/dr-willmar-schwabe-india-tribulus-terrestris-mother-tincture-q-otc391564
SBL Drops No. 8 ( For Allergic Rhinitis),bottle of 30 ml Drop,185,131,https://www.1mg.com/otc/sbl-drops-no.-8-for-allergic-rhinitis-otc339777
SBL Abroma Augusta Mother Tincture Q,bottle of 30 ml Mother Tincture,105,92,https://www.1mg.com/otc/sbl-abroma-augusta-mother-tincture-q-otc338537
Dr. Reckeweg R46 Rheumatism Of Forearms And Hands Drop,bottle of 22 ml Drop,270,243,https://www.1mg.com/otc/dr.-reckeweg-r46-rheumatism-of-forearms-and-hands-drop-otc326021
SBL Thuja Gel,tube of 25 gm Gel,75,68,https://www.1mg.com/otc/sbl-thuja-gel-otc331010
Dr. Reckeweg R6 Influenza Drop,bottle of 22 ml Drop,270,238,https://www.1mg.com/otc/dr.-reckeweg-r6-influenza-drop-otc326076
SBL Gelsemium Sempervirens Dilution 200 CH,bottle of 30 ml Dilution,115,114,https://www.1mg.com/otc/sbl-gelsemium-sempervirens-dilution-200-ch-otc346631
Dr. Reckeweg Crataegus Mother Tincture Q,bottle of 20 ml Mother Tincture,255,228,https://www.1mg.com/otc/dr.-reckeweg-crataegus-mother-tincture-q-otc327757
Dr Willmar Schwabe India Ginseng Mother Tincture Q,bottle of 30 ml Mother Tincture,320,294,https://www.1mg.com/otc/dr-willmar-schwabe-india-ginseng-mother-tincture-q-otc391010
Dr. Reckeweg Jaborandi Mother Tincture Q,bottle of 20 ml Mother Tincture,255,224,https://www.1mg.com/otc/dr.-reckeweg-jaborandi-mother-tincture-q-otc327599
Bakson Hite Aid Tablet,bottle of 75 tablets,215,189,https://www.1mg.com/otc/bakson-hite-aid-tablet-otc327080
SBL Hydrangea Arborescens Mother Tincture Q,bottle of 30 ml Mother Tincture,150,132,https://www.1mg.com/otc/sbl-hydrangea-arborescens-mother-tincture-q-otc338476
SBL Thuja Occidentalis Dilution 30 CH,bottle of 30 ml Dilution,100,88,https://www.1mg.com/otc/sbl-thuja-occidentalis-dilution-30-ch-otc338171
Boericke and Tafel Hair Growth Oil,bottle of 200 ml Oil,180,162,https://www.1mg.com/otc/boericke-and-tafel-hair-growth-oil-otc388296
SBL Ruta Graveolens Dilution 30 CH,bottle of 30 ml Dilution,100,88,https://www.1mg.com/otc/sbl-ruta-graveolens-dilution-30-ch-otc338301
Wheezal Jaborandi Hair Treatment Oil,bottle of 500 ml Oil,425,374,https://www.1mg.com/otc/wheezal-jaborandi-hair-treatment-oil-otc536942
Dr Willmar Schwabe India Rauwolfia Serpentina Tablet 1X,bottle of 20 gm Tablet,175,154,https://www.1mg.com/otc/dr-willmar-schwabe-india-rauwolfia-serpentina-tablet-1x-otc327283
Boericke and Tafel Anti-Dandruff Shampoo,bottle of 150 ml Shampoo,145,128,https://www.1mg.com/otc/boericke-and-tafel-anti-dandruff-shampoo-otc388285
SBL Cantharis Dilution 30 CH,bottle of 30 ml Dilution,100,90,https://www.1mg.com/otc/sbl-cantharis-dilution-30-ch-otc338356
Dr. Reckeweg Physostigma  Venenosum Dilution 30 CH,bottle of 11 ml Dilution,135,127,https://www.1mg.com/otc/dr.-reckeweg-physostigma-venenosum-dilution-30-ch-otc326489
Dr Willmar Schwabe India Berberis Pentarkan Tablet,bottle of 20 gm Tablet,185,163,https://www.1mg.com/otc/dr-willmar-schwabe-india-berberis-pentarkan-tablet-otc328680
Dr. Reckeweg R72 Pancreas Drop,bottle of 22 ml Drop,270,243,https://www.1mg.com/otc/dr.-reckeweg-r72-pancreas-drop-otc327370
Hapdco Mensol Tonic,bottle of 450 ml Tonic,310,273,https://www.1mg.com/otc/hapdco-mensol-tonic-otc386135
SBL Thyroidinum Trituration Tablet 6X,bottle of 25 gm Trituration Tablet,175,158,https://www.1mg.com/otc/sbl-thyroidinum-trituration-tablet-6x-otc338955
Dr. Reckeweg R54 Memory Drop,bottle of 22 ml Drop,175,270,https://www.1mg.com/otc/dr.-reckeweg-r54-memory-drop-otc326014
Haslab Laxyalo Capsule,box of 10 capsules,45,40,https://www.1mg.com/otc/haslab-laxyalo-capsule-otc793319
